name,url,city,state,degree_levels,tuition,school_type
University of Phoenix-Nevada,http://www.phoenix.edu,Las Vegas,NV,"Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$10,538","Private for-profit, 4-year or above"
University of Rhode Island,http://www.uri.edu/,Kingston,RI,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$12,506","Public, 4-year or above"
University of Sioux Falls,http://www.usiouxfalls.edu/,Sioux Falls,SD,"Associates Degree, Bachelors Degree, Masters Degree","$25,480","Private not-for-profit, 4-year or above"
University of South Dakota,http://WWW.USD.EDU,Vermillion,SD,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$8,022","Public, 4-year or above"
University of Southern Maine,http://www.usm.maine.edu,Portland,ME,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,796","Public, 4-year or above"
University of Vermont,http://www.uvm.edu,Burlington,VT,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$16,226","Public, 4-year or above"
University of Wyoming,http://www.uwyo.edu,Laramie,WY,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$4,646","Public, 4-year or above"
Valley City State University,http://www.vcsu.edu,Valley City,ND,"Bachelors Degree, Masters Degree","$6,674","Public, 4-year or above"
Vermont Law School,http://www.vermontlaw.edu,South Royalton,VT,"Doctoral Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Vermont Technical College,http://www.vtc.edu,Randolph Center,VT,"Associates Degree, Bachelors Degree, Certificate","$12,860","Public, 4-year or above"
Wesley College,http://www.wesley.edu,Dover,DE,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$24,100","Private not-for-profit, 4-year or above"
Western Nevada College,http://www.wnc.edu,Carson City,NV,"Associates Degree, Bachelors Degree, Certificate","$2,700","Public, 4-year or above"
Western Wyoming Community College,http://www.wwcc.wy.edu,Rock Springs,WY,"Associates Degree, Certificate","$2,400","Public, 2-year"
White Mountains Community College,http://www.wmcc.edu,Berlin,NH,"Associates Degree, Certificate","$7,344","Public, 2-year"
Widener University-Delaware Campus,http://www.widener.edu,Wilmington,DE,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$13,410","Private not-for-profit, 4-year or above"
Wilmington University,http://www.wilmu.edu,New Castle,DE,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$10,190","Private not-for-profit, 4-year or above"
Windward Community College,http://windward.hawaii.edu,Kaneohe,HI,"Associates Degree, Certificate","$2,776","Public, 2-year"
