name,url,city,state,degree_levels,tuition,school_type
Miller-Motte Technical College-Gulfport,http://www.miller-motte.edu,Gulfport,MS,"Associates Degree, Certificate","$10,500","Private for-profit, 2-year"
Minot State University,http://www.minotstateu.edu,Minot,ND,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Masters Certificate","$6,225","Public, 4-year or above"
Mississippi College,http://www.mc.edu,Clinton,MS,"Bachelors Degree, Doctoral Degree, Masters Degree, Other Degree, Post-Bachelors Certificate, Post-Masters Certificate","$15,458","Private not-for-profit, 4-year or above"
Mississippi Delta Community College,http://www.msdelta.edu/,Moorhead,MS,"Associates Degree, Certificate","$2,490","Public, 2-year"
Mississippi Gulf Coast Community College,https://www.mgccc.edu,Perkinston,MS,"Associates Degree, Certificate","$2,732","Public, 2-year"
Mitchell College,http://www.mitchell.edu,New London,CT,"Associates Degree, Bachelors Degree, Certificate","$30,012","Private not-for-profit, 4-year or above"
Mitchell Technical Institute,http://www.mitchelltech.edu,Mitchell,SD,"Associates Degree, Certificate","$5,072","Public, 2-year"
Montana State University,http://www.montana.edu/,Bozeman,MT,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$6,800","Public, 4-year or above"
Montana State University-Billings,http://www.msubillings.edu,Billings,MT,"Associates Degree, Bachelors Degree, Masters Degree","$5,780","Public, 4-year or above"
Montana State University-Northern,http://www.msun.edu,Havre,MT,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$5,480","Public, 4-year or above"
Montana Tech of the University of Montana,http://www.mtech.edu,Butte,MT,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$6,494","Public, 4-year or above"
Moore Norman Technology Center,https://www.mntc.edu/,Norman,OK,Certificate,N/A,"Public, 2-year"
Mount Marty College,http://www.mtmc.edu,Yankton,SD,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Masters Certificate","$22,892","Private not-for-profit, 4-year or above"
Mountain State College,http://www.msc.edu,Parkersburg,WV,"Associates Degree, Certificate","$8,215","Private for-profit, 2-year"
Mountwest Community and Technical College,http://www.mctc.edu,Huntington,WV,"Associates Degree, Certificate","$3,521","Public, 2-year"
Mt Hood Community College,http://www.mhcc.edu,Gresham,OR,"Associates Degree, Certificate","$4,751","Public, 2-year"
Multnomah University,http://www.multnomah.edu,Portland,OR,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$22,100","Private not-for-profit, 4-year or above"
Murray State College,http://www.mscok.edu,Tishomingo,OK,Associates Degree,"$4,148","Public, 2-year"
NHTI-Concord's Community College,http://www.nhti.edu,Concord,NH,"Associates Degree, Certificate","$7,104","Public, 2-year"
Nashua Community College,http://www.nashuacc.edu,Nashua,NH,"Associates Degree, Certificate","$6,912","Public, 2-year"
National American University-Albuquerque,http://www.national.edu/locations/new-mexico/albuquerque,Albuquerque,NM,"Associates Degree, Bachelors Degree, Certificate","$13,071","Private for-profit, 4-year or above"
National American University-Albuquerque West,http://www.national.edu/locations/new-mexico/rio-rancho,Albuquerque,NM,"Associates Degree, Bachelors Degree, Certificate","$13,071","Private for-profit, 4-year or above"
