school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
Kennesaw State University (GA)*,bang4buck,Southeast,104,,,,,,
Cameron University (OK)*,bang4buck,South,104,,,,,,
Carroll College,bang4buck,West,105,,,,,,
Slippery Rock University of PA (PA)*,main,Master's Universities,105,211.0,0.336,0.2171848,0.672748,-0.1242068,14034.78
Stratford University (VA)°,bang4buck,Southeast,105,,,,,,
Univ. of Montana–Western (MT)*,main,Bachelor's Colleges,105,139.0,0.0,0.1662295,0.4615183,-0.1783336,11166.34
Radford University (VA)*,main,National Universities,105,107.0,0.8873333,0.1994856,0.6213399,-0.0704248,13123.68
SUNY Potsdam (NY)*,bang4buck,Northeast,105,,,,,,
Stonehill College,main,Liberal Arts Colleges,105,84.0,0.7666667,0.026521,0.8184751,-0.0547462,22631.34
Texas A&M–Kingsville (TX)*,bang4buck,South,105,,,,,,
Aurora University,bang4buck,Midwest,105,,,,,,
Univ. of Pittsburgh–Johnstown (PA)*,bang4buck,Northeast,106,,,,,,
La Roche University,main,Master's Universities,106,58.0,0.0,0.0911668,0.5941103,0.0397023,19851.38
Tufts University,main,National Universities,106,218.0,224.1403,0.0812388,0.9397199,-0.0042691,11182.36
Cheyney University of PA (PA)*^^,main,Liberal Arts Colleges,106,62.0,0.0,0.0843314,0.2884465,0.0215656,12064.56
Chicago State University (IL)*,bang4buck,Midwest,106,,,,,,
Fort Lewis College (CO)*,bang4buck,West,106,,,,,,
Eastern Kentucky University (KY)*,bang4buck,South,106,,,,,,
Quincy University,main,Bachelor's Colleges,106,158.0,0.0,0.0776911,0.5620841,-0.2134365,14280.09
Alabama A&M University (AL)*,bang4buck,Southeast,106,,,,,,
Virginia Commonwealth Univ. (VA)*,main,National Universities,107,146.0,351.2893,0.1113905,0.6886919,-0.0608934,15666.81
Southern Oregon University (OR)*,bang4buck,West,107,,,,,,
MA College of Liberal Arts (MA)*,main,Liberal Arts Colleges,107,68.0,0.0,0.0411202,0.6072729,-0.1092481,14283.97
University of Mount Olive,bang4buck,Southeast,107,,,,,,
Beloit College,bang4buck,Midwest,107,,,,,,
University at Buffalo (NY)*,bang4buck,Northeast,107,,,,,,
Dickinson State University (ND)*,main,Bachelor's Colleges,107,95.0,0.0,0.1083178,0.4350777,-0.0658456,12241.09
Texas Southern University (TX)*,bang4buck,South,107,,,,,,
Univ. of Houston–Downtown (TX)*,main,Master's Universities,107,36.0,1.870667,0.0587738,0.4700707,0.0490384,12780.86
Notre Dame of MD University,bang4buck,Northeast,108,,,,,,
Miles College,bang4buck,Southeast,108,,,,,,
Gods Bible School and College,main,Bachelor's Colleges,108,43.0,0.0,0.0,0.4349778,-0.0039682,8151.873
Oberlin College,main,Liberal Arts Colleges,108,142.0,0.998,0.1115688,0.8663318,0.0191342,16356.76
Bluffton University,bang4buck,Midwest,108,,,,,,
McNeese State University (LA)*,bang4buck,South,108,,,,,,
Fayetteville State University (NC)*,main,Master's Universities,108,79.0,3.312,0.0924293,0.4564877,-0.0271832,5959.919
Villanova University,main,National Universities,108,104.0,25.39433,0.0398342,0.8870615,-0.0356162,23102.94
Humphreys–Stockton/Modesto,bang4buck,West,108,,,,,,
Dakota Wesleyan University,main,Bachelor's Colleges,109,134.0,0.0,0.2654012,0.5645711,-0.0491904,20646.56
Villanova University,bang4buck,Northeast,109,,,,,,
Saint Martin's University,main,Master's Universities,109,66.0,0.2683333,0.0471797,0.6687383,-0.0277695,17188.8
University of Colorado–Boulder (CO)*,main,National Universities,109,238.0,561.5927,0.1175336,0.7017447,-0.0851437,14685.62
Elon University,bang4buck,Southeast,109,,,,,,
Morehead State University (KY)*,bang4buck,South,109,,,,,,
Azusa Pacific University,bang4buck,West,109,,,,,,
Bennett College,main,Liberal Arts Colleges,109,115.0,0.0,0.0284346,0.318175,-0.1066563,21728.35
Central Michigan University (MI)*,bang4buck,Midwest,109,,,,,,
Drury U. Coll. Cont. Prof. Studies,bang4buck,Midwest,110,,,,,,
Coker University,bang4buck,Southeast,110,,,,,,
SUNY College of Tech.–Canton (NY)*,main,Bachelor's Colleges,110,88.0,0.0,0.2071862,0.5162833,-0.1632139,11331.29
Middle Tennessee State Univ. (TN)*,bang4buck,South,110,,,,,,
Siena College,main,Master's Universities,110,164.0,0.8273333,0.1702054,0.7753757,-0.0839062,24815.21
CO Technical Univ. (CO)°,bang4buck,West,110,,,,,,
Union College,bang4buck,Northeast,110,,,,,,
Lycoming College,main,Liberal Arts Colleges,110,56.0,0.0,0.0225208,0.6448949,-0.0512022,14333.89
University of Iowa (IA)*,main,National Universities,110,196.0,562.2247,0.1180962,0.7119759,-0.1370641,15877.03
Texas College,main,Bachelor's Colleges,111,51.0,0.0,0.0400848,0.2120735,0.1349252,13860.68
Cornell College,main,Liberal Arts Colleges,111,138.0,0.4143333,0.0768446,0.7151393,-0.074726,18356.99
University of Idaho (ID)*,bang4buck,West,111,,,,,,
University of Delaware (DE)*,main,National Universities,111,147.0,273.3613,0.0427906,0.8074249,-0.1306242,14156.32
Huntingdon College,bang4buck,Southeast,111,,,,,,
Arkansas Tech University (AR)*,bang4buck,South,111,,,,,,
Rutgers Univ.–New Brunswick (NJ)*,bang4buck,Northeast,111,,,,,,
Ctrl. Meth.–Grad/Extended,main,Master's Universities,111,38.0,0.0,0.0900844,0.6778103,0.0,15026.0
Univ. of Wisconsin–Eau Claire (WI)*,bang4buck,Midwest,111,,,,,,
Saint Michael's College,main,Liberal Arts Colleges,112,102.0,0.8623334,0.0049789,0.780619,-0.0576093,20488.49
Prescott College,bang4buck,West,112,,,,,,
St. Joseph's Univ.–New York,bang4buck,Northeast,112,,,,,,
Cumberland University,bang4buck,South,112,,,,,,
Marquette University,main,National Universities,112,123.0,38.287,0.03828,0.8276222,-0.1037275,20001.07
Union Adventist University,main,Bachelor's Colleges,112,151.0,0.0,0.0776959,0.530271,-0.1143216,20728.98
Butler University,bang4buck,Midwest,112,,,,,,
Rollins College,main,Master's Universities,112,318.0,0.493,0.2199214,0.7474771,-0.0307429,24259.71
University of West Alabama (AL)*,bang4buck,Southeast,112,,,,,,
University of Hawaii–West Oahu (HI)*,main,Bachelor's Colleges,113,75.0,0.0,0.2022411,0.4921736,-0.0335067,9547.258
University of Tennessee (TN)*,bang4buck,South,113,,,,,,
Francis Marion University (SC)*,bang4buck,Southeast,113,,,,,,
University of San Francisco,bang4buck,West,113,,,,,,
University of WI–Stout (WI)*,bang4buck,Midwest,113,,,,,,
Alfred University,main,Master's Universities,113,247.0,2.972333,0.0261177,0.6164845,-0.0894908,20196.7
University of Connecticut (CT)*,main,National Universities,113,141.0,0.0,0.1647251,0.8406523,-0.0832738,16441.58
Washington & Jefferson College,main,Liberal Arts Colleges,113,74.0,0.0,0.0677042,0.7195404,-0.077443,20273.3
Connecticut College,bang4buck,Northeast,113,,,,,,
Jarvis Christian College,main,Bachelor's Colleges,114,77.0,0.0,0.0,0.2517013,-0.0741976,11270.41
Weber State University (UT)*,bang4buck,West,114,,,,,,
Ursuline College,bang4buck,Midwest,114,,,,,,
University of San Francisco,main,National Universities,114,205.0,2.064333,0.1310298,0.7564917,0.0085355,32743.96
Drew University,bang4buck,Northeast,114,,,,,,
Saint Norbert College,main,Liberal Arts Colleges,114,128.0,0.4856667,0.1050757,0.71983,-0.0469382,20683.15
Cedar Crest College,main,Master's Universities,114,196.0,0.0,0.0402094,0.5658326,-0.0856631,20353.94
Davis & Elkins College,bang4buck,Southeast,114,,,,,,
University of Kentucky (KY)*,bang4buck,South,114,,,,,,
Wisconsin Lutheran College,main,Bachelor's Colleges,115,113.0,0.0,0.0,0.6010137,-0.1189519,15177.07
Albizu University–Miami,main,National Universities,115,19.0,0.0,0.0,0.6103641,0.4222222,25715.83
University of Portland,bang4buck,West,115,,,,,,
Warner University,bang4buck,Southeast,115,,,,,,
Pillar College,main,Liberal Arts Colleges,115,33.0,0.0,0.0,0.3678464,0.2143219,21408.15
Indiana Wesleyan University,main,Master's Universities,115,140.0,0.6386667,0.0387861,0.7111113,-0.1424749,16363.03
IN Inst. of Tech Coll. Prof. Studies,bang4buck,Midwest,115,,,,,,
Hobart & William Smith Colls.,bang4buck,Northeast,115,,,,,,
Delta State University (MS)*,bang4buck,South,115,,,,,,
North Greenville University,bang4buck,Southeast,116,,,,,,
Houston Baptist University,bang4buck,South,116,,,,,,
Univ. of Pittsburgh–Pittsburgh (PA)*,main,National Universities,116,302.0,1164.315,0.0935979,0.8107389,-0.0868347,19943.93
High Point University,main,Bachelor's Colleges,116,189.0,0.0,0.1500817,0.6686392,-0.1088362,33264.77
University of La Verne,bang4buck,West,116,,,,,,
SUNY Binghamton (NY)*,bang4buck,Northeast,116,,,,,,
St. Edward's University,main,Master's Universities,116,151.0,7.513,0.0763773,0.6273949,0.0245618,19815.76
Loras College,bang4buck,Midwest,116,,,,,,
Hope College,main,Liberal Arts Colleges,116,145.0,5.129333,0.0233329,0.7799906,-0.1399787,18351.89
West Chester University of PA (PA)*,bang4buck,Northeast,117,,,,,,
Purdue University Global (IN)*,bang4buck,Midwest,117,,,,,,
St. John's College,bang4buck,West,117,,,,,,
Univ. of SC–Beaufort (SC)*,bang4buck,Southeast,117,,,,,,
Tusculum College,bang4buck,South,117,,,,,,
Canisius University,main,Master's Universities,117,228.0,1.096667,0.0981008,0.7038099,-0.1476704,14669.52
Dillard University,main,Liberal Arts Colleges,117,136.0,2.440333,0.0248477,0.4778312,-0.2417699,18117.65
Rensselaer Polytechnic Institute,main,National Universities,117,92.0,121.206,0.0291136,0.8681628,-0.0453516,22623.96
Lander University (SC)*,main,Bachelor's Colleges,117,115.0,0.0,0.0950003,0.4842416,-0.1110504,14144.56
Lamar University (TX)*,bang4buck,South,118,,,,,,
Salem State University (MA)*,bang4buck,Northeast,118,,,,,,
Heritage University,main,Master's Universities,118,44.0,0.0,0.0152633,0.5507734,-0.0982192,6585.472
Wofford College,main,Liberal Arts Colleges,118,99.0,0.0,0.0911009,0.824762,-0.0342864,20364.02
University of Dayton,bang4buck,Midwest,118,,,,,,
Berkeley College–New York,main,Bachelor's Colleges,118,60.0,0.0,0.0,0.3971779,-0.0733308,19408.92
Northwest University,bang4buck,West,118,,,,,,
Pfeiffer University,bang4buck,Southeast,118,,,,,,
University of CA–Santa Cruz (CA)*,main,National Universities,118,173.0,162.5917,0.24152,0.79318,-0.0072584,12951.31
Oregon State University (OR)*,bang4buck,West,119,,,,,,
GA Southwestern State Univ. (GA)*,bang4buck,Southeast,119,,,,,,
University of MD–College Park (MD)*,bang4buck,Northeast,119,,,,,,
Rochester Christian University,main,Bachelor's Colleges,119,103.0,0.0,0.0105141,0.551651,-0.2268727,18789.7
Brandeis University,main,National Universities,119,166.0,96.24467,0.0583261,0.8867881,-0.0115487,16490.77
Northeastern Illinois University (IL)*,main,Master's Universities,119,101.0,2.051667,0.0719605,0.4743234,0.0005499,13322.73
Kenyon College,main,Liberal Arts Colleges,119,153.0,1.246,0.1081341,0.9187101,-0.1874868,17562.73
University of Mississippi (MS)*,bang4buck,South,119,,,,,,
William Jewell College,bang4buck,Midwest,119,,,,,,
John Paul the Great Catholic U.,bang4buck,West,120,,,,,,
WV Univ. Institute of Tech. (WV)*,bang4buck,Southeast,120,,,,,,
Felician University,bang4buck,Northeast,120,,,,,,
Stephens College,main,Master's Universities,120,385.0,0.0,0.0709499,0.5250616,-0.1751589,21914.79
Univ. of Wisconsin–Platteville (WI)*,bang4buck,Midwest,120,,,,,,
Hartwick College,main,Liberal Arts Colleges,120,130.0,0.0,0.1235839,0.6168346,-0.073489,21689.16
Carson-Newman College,bang4buck,South,120,,,,,,
