school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
MA Institute of Technology,main,National Universities,1,2.0,975.4033,0.0409434,0.9645512,-0.0340021,-1896.012
SUNY Geneseo (NY)*,main,Master's Universities,1,64.0,1.934333,0.0333546,0.761828,-0.0532476,14621.21
Berea College,main,Liberal Arts Colleges,1,2.0,0.0,0.036933,0.671227,-0.1887044,3647.08
CA State U.–Maritime Academy (CA)*,main,Bachelor's Colleges,1,3.0,2.175667,0.0290252,0.6893213,0.0039641,14211.77
Stanford University,main,National Universities,2,1.0,1287.663,0.2131527,0.9677544,-0.0358356,130.8067
Univ. of TX–Rio Grande Valley (TX)*,bang4buck,South,2,,,,,,
CA State University–Los Angeles (CA)*,bang4buck,West,2,,,,,,
Harvey Mudd College,main,Liberal Arts Colleges,2,6.0,2.875,0.0975626,0.9297523,-0.0394218,19250.0
Florida International University (FL)*,bang4buck,Southeast,2,,,,,,
Cooper U. Adv. of Science & Art,main,Bachelor's Colleges,2,7.0,0.5156667,0.1902695,0.8719544,0.0180084,4291.474
Trine–Regional/Non-Traditional,bang4buck,Midwest,2,,,,,,
Charter Oak State College (CT)*,bang4buck,Northeast,2,,,,,,
Evergreen State College (WA)*,main,Master's Universities,2,29.0,0.5863333,0.0375839,0.6268348,-0.0275064,17131.75
CA State University–Los Angeles (CA)*,main,Master's Universities,3,1.0,9.937,0.0573503,0.6842237,-0.0163513,2895.668
Washington and Lee University,bang4buck,Southeast,3,,,,,,
CA State Univ.–Dominguez Hills (CA)*,bang4buck,West,3,,,,,,
Wesleyan College,main,Bachelor's Colleges,3,44.0,0.0,0.1753247,0.5970007,-0.1196752,10790.43
College of the Ozarks,bang4buck,Midwest,3,,,,,,
University of Pennsylvania,main,National Universities,3,7.0,1667.542,0.137695,0.9662973,-0.029131,3393.105
Amherst College,main,Liberal Arts Colleges,3,5.0,5.573,0.0174053,0.9479476,-0.0205922,7155.851
University of North TX–Dallas (TX)*,bang4buck,South,3,,,,,,
Boricua College,bang4buck,Northeast,3,,,,,,
Columbia Univ. in the City of NY,bang4buck,Northeast,4,,,,,,
University of Notre Dame,bang4buck,Midwest,4,,,,,,
Georgetown University,bang4buck,Southeast,4,,,,,,
Mississippi Univ. for Women (MS)*,bang4buck,South,4,,,,,,
Harvard University,main,National Universities,4,18.0,1267.483,0.2132739,0.9822023,-0.0167094,2293.186
Elizabeth City State University (NC)*,main,Bachelor's Colleges,4,11.0,1.708,0.1302752,0.4449312,-0.0334883,2854.163
CA State University–Stanislaus (CA)*,bang4buck,West,4,,,,,,
Williams College,main,Liberal Arts Colleges,4,10.0,5.161,0.0087124,0.9625855,-0.0292304,2814.855
CA State University–Northridge (CA)*,main,Master's Universities,4,4.0,19.14633,0.0575908,0.6969799,-0.0667298,6998.183
University of Central Florida (FL)*,bang4buck,Southeast,5,,,,,,
CA State U.–Maritime Academy (CA)*,bang4buck,West,5,,,,,,
Princeton University,main,National Universities,5,6.0,420.7117,0.0793884,0.9811403,-0.0067733,4696.916
Univ. of Florida–Online (FL)*,main,Bachelor's Colleges,5,1.0,0.0,0.0299824,0.6090909,0.3509259,3012.071
MA Maritime Academy (MA)*,bang4buck,Northeast,5,,,,,,
Univ. of IL–Urbana-Champaign (IL)*,bang4buck,Midwest,5,,,,,,
Wesleyan University,main,Liberal Arts Colleges,5,14.0,8.803333,0.0911249,0.911799,0.0101591,6731.237
CA State University–Sacramento (CA)*,main,Master's Universities,5,6.0,24.14433,0.114665,0.6916133,-0.0569144,7957.272
Texas A&M International Univ. (TX)*,bang4buck,South,5,,,,,,
Goshen College,main,Bachelor's Colleges,6,54.0,0.0,0.055953,0.6943458,-0.1594661,14933.92
Northwestern University,bang4buck,Midwest,6,,,,,,
Florida Atlantic University (FL)*,bang4buck,Southeast,6,,,,,,
Haverford College,main,Liberal Arts Colleges,6,22.0,4.265,0.2510476,0.916346,0.0163599,9098.133
Univ. of Houston–Downtown (TX)*,bang4buck,South,6,,,,,,
CA State University–Chico (CA)*,main,Master's Universities,6,16.0,4.230333,0.2704321,0.7394714,-0.1200594,12094.56
Princeton University,bang4buck,Northeast,6,,,,,,
Columbia Univ. in the City of NY,main,National Universities,6,4.0,1120.801,0.0952126,0.9260494,-0.0222824,3060.935
CA State University–Northridge (CA)*,bang4buck,West,6,,,,,,
Oakland City University,bang4buck,Midwest,7,,,,,,
CA State University–Stanislaus (CA)*,main,Master's Universities,7,3.0,1.964667,0.1152552,0.709803,-0.0328833,4998.692
Farmingdale State College (NY)*,main,Bachelor's Colleges,7,6.0,0.602,0.0243668,0.5867125,-0.028967,5276.157
Brigham Young University–ID,bang4buck,West,7,,,,,,
University of the Cumberlands,bang4buck,South,7,,,,,,
CUNY John Jay Col. Crim. Just. (NY)*,bang4buck,Northeast,7,,,,,,
Duke University,main,National Universities,7,35.0,1274.954,0.0400706,0.9580252,-0.0113203,5117.011
Washington and Lee University,main,Liberal Arts Colleges,7,4.0,0.2396667,0.324136,0.945601,-0.028904,3205.0
Albizu University–Miami,bang4buck,Southeast,7,,,,,,
Bentley University,bang4buck,Northeast,8,,,,,,
Vanderbilt University,bang4buck,South,8,,,,,,
Ctrl. Meth.–Grad/Extended,bang4buck,Midwest,8,,,,,,
CA State Univ.–Dominguez Hills (CA)*,main,Master's Universities,8,2.0,2.995,0.2127781,0.6630476,-0.0290998,3401.983
CA State University–Sacramento (CA)*,bang4buck,West,8,,,,,,
Illinois Wesleyan University,main,Bachelor's Colleges,8,21.0,0.0,0.0209282,0.801952,-0.0246355,20974.92
Cornell University,main,National Universities,8,25.0,1224.648,0.1451875,0.9579089,-0.0339577,5249.372
Embry-Riddle Aero. Univ.–Worldwide,bang4buck,Southeast,8,,,,,,
Swarthmore College,main,Liberal Arts Colleges,8,39.0,3.688333,0.0170734,0.9556008,0.0027761,8722.616
Lake Superior State University (MI)*,bang4buck,Midwest,9,,,,,,
California Institute of Tech.,main,National Universities,9,13.0,455.4723,0.0841596,0.933579,-0.0312371,4732.067
CUNY Lehman College (NY)*,bang4buck,Northeast,9,,,,,,
Claremont McKenna College,main,Liberal Arts Colleges,9,3.0,5.418,0.0536123,0.925418,0.0034885,9518.397
Texas A&M–San Antonio (TX)*,bang4buck,South,9,,,,,,
Ohio Northern University,main,Bachelor's Colleges,9,18.0,0.3563333,0.0841497,0.7436355,-0.1429878,21016.56
CA State Univ.–San Bernardino (CA)*,bang4buck,West,9,,,,,,
Towson University (MD)*,main,Master's Universities,9,18.0,5.398,0.0877321,0.731912,-0.0137537,9428.324
Strayer University–Florida (FL)°,bang4buck,Southeast,9,,,,,,
University of WA–Tacoma (WA)*,bang4buck,West,10,,,,,,
Davidson College,bang4buck,Southeast,10,,,,,,
Boricua College,main,Bachelor's Colleges,10,2.0,0.0,0.065002,0.793543,0.0385191,13905.14
Sam Houston State University (TX)*,bang4buck,South,10,,,,,,
University of Pennsylvania,bang4buck,Northeast,10,,,,,,
Metropolitan State University (MN)*,bang4buck,Midwest,10,,,,,,
College of New Jersey (NJ)*,main,Master's Universities,10,81.0,2.28,0.0,0.858095,-0.057318,13105.64
Pomona College,main,Liberal Arts Colleges,10,40.0,2.53,0.0794981,0.9451087,0.0160428,5660.412
University of Notre Dame,main,National Universities,10,21.0,249.4877,0.1595109,0.9658034,-0.0323785,11025.92
Le Moyne-Owen College,bang4buck,South,11,,,,,,
Peirce College,bang4buck,Northeast,11,,,,,,
University of SC–Upstate (SC)*,bang4buck,Southeast,11,,,,,,
Bowdoin College,main,Liberal Arts Colleges,11,16.0,2.594667,0.3196226,0.9511547,-0.0052286,7129.624
University of Illinois–Chicago (IL)*,bang4buck,Midwest,11,,,,,,
Westminster College,main,Master's Universities,11,200.0,0.0,0.0316895,0.6399474,-0.0828205,20286.12
Yale University,main,National Universities,11,23.0,1150.161,0.0524503,0.9746981,-0.0409576,3124.779
Brigham Young University,bang4buck,West,11,,,,,,
Elmira College,main,Bachelor's Colleges,11,55.0,0.0,0.0348572,0.6740226,-0.0281343,20298.37
University of WI–Madison (WI)*,bang4buck,Midwest,12,,,,,,
Davidson College,main,Liberal Arts Colleges,12,7.0,2.505667,0.0350063,0.9183941,0.014704,8161.266
Texas A&M–Texarkana (TX)*,bang4buck,South,12,,,,,,
Truman State University (MO)*,main,Master's Universities,12,147.0,0.2866667,0.0859871,0.7235553,-0.1242789,9510.425
Farmingdale State College (NY)*,bang4buck,Northeast,12,,,,,,
Claremont McKenna College,bang4buck,West,12,,,,,,
Elizabeth City State University (NC)*,bang4buck,Southeast,12,,,,,,
University of WI–Madison (WI)*,main,National Universities,12,42.0,1422.506,0.1386999,0.878276,-0.0582862,6566.917
Peirce College,main,Bachelor's Colleges,12,5.0,0.0,0.0,0.2498177,0.5,9989.087
Univ. of Houston–Clear Lake (TX)*,bang4buck,South,13,,,,,,
CA State University–Fresno (CA)*,bang4buck,West,13,,,,,,
University of SC–Upstate (SC)*,main,Bachelor's Colleges,13,10.0,0.509,0.0,0.5738255,-0.0116049,12943.41
Bryn Mawr College,main,Liberal Arts Colleges,13,71.0,9.895,0.0862667,0.8572147,-0.0081843,14611.85
Washington Univ. in St. Louis,bang4buck,Midwest,13,,,,,,
Bay Path University,bang4buck,Northeast,13,,,,,,
Cal Poly Humboldt (CA)*,main,Master's Universities,13,55.0,14.65033,0.0802146,0.6422801,-0.0673715,11366.31
University of CA–Berkeley (CA)*,main,National Universities,13,51.0,889.3023,0.1161143,0.937436,-0.0555862,10631.9
Winston-Salem State University (NC)*,bang4buck,Southeast,13,,,,,,
CA State University–Bakersfield (CA)*,bang4buck,West,14,,,,,,
Hampshire College,main,Liberal Arts Colleges,14,80.0,0.0706667,0.1460118,0.6704776,-0.0504704,16254.8
University of Redlands,main,Master's Universities,14,94.0,0.0,0.0726306,0.7300598,-0.0438724,18977.03
University of Florida (FL)*,bang4buck,Southeast,14,,,,,,
Northeastern State University (OK)*,bang4buck,South,14,,,,,,
Lake Superior State University (MI)*,main,Bachelor's Colleges,14,12.0,1.405667,0.1363466,0.6996083,-0.1446069,10347.5
Cooper U. Adv. of Science & Art,bang4buck,Northeast,14,,,,,,
Johns Hopkins University,main,National Universities,14,61.0,3237.397,0.0436178,0.9391944,-0.0165556,3583.2
Michigan State University (MI)*,bang4buck,Midwest,14,,,,,,
Charter Oak State College (CT)*,main,Liberal Arts Colleges,15,1.0,0.0,0.0,0.5623952,0.2056071,11147.62
CUNY Baruch College (NY)*,bang4buck,Northeast,15,,,,,,
University of MN–Morris (MN)*,bang4buck,Midwest,15,,,,,,
Bethune-Cookman University,bang4buck,Southeast,15,,,,,,
CA State University–Long Beach (CA)*,bang4buck,West,15,,,,,,
University of North Texas (TX)*,bang4buck,South,15,,,,,,
Wheeling University,main,Master's Universities,15,51.0,0.0826667,0.0,0.7692251,0.0094386,24867.13
Simpson College,main,Bachelor's Colleges,15,33.0,0.0,0.0767207,0.7053846,-0.1041906,17472.17
Georgetown University,main,National Universities,15,12.0,283.937,0.0516137,0.9435745,-0.0361847,7393.563
NM Inst. of Mining and Tech (NM)*,main,Master's Universities,16,169.0,47.74533,0.1164093,0.5597278,-0.1492133,8614.223
University of Texas–Arlington (TX)*,bang4buck,South,16,,,,,,
Florida International University (FL)*,main,National Universities,16,3.0,254.8607,0.0432021,0.6778954,0.0006574,5439.168
SUNY Maritime College (NY)*,bang4buck,Northeast,16,,,,,,
California State Univ.–Fullerton (CA)*,bang4buck,West,16,,,,,,
Brigham Young University–ID,main,Bachelor's Colleges,16,4.0,0.0,0.0,0.6356955,-0.0710854,3924.654
Macalester College,main,Liberal Arts Colleges,16,54.0,1.575333,0.2352414,0.9126773,-0.0098437,14265.88
Salem College,bang4buck,Southeast,16,,,,,,
Milwaukee Sch. of Engineering,bang4buck,Midwest,16,,,,,,
Rust College,bang4buck,South,17,,,,,,
Duke University,bang4buck,Southeast,17,,,,,,
Middlebury College,main,Liberal Arts Colleges,17,36.0,2.416667,0.0367786,0.9327391,-0.0634063,9574.947
University of WA–Seattle (WA)*,main,National Universities,17,57.0,1501.752,0.0783429,0.8383477,-0.0586649,6406.56
University of AR–Pine Bluff (AR)*,main,Bachelor's Colleges,17,42.0,8.253,0.006593,0.3883811,-0.1493305,10547.45
CA State University–Chico (CA)*,bang4buck,West,17,,,,,,
Lehigh University,bang4buck,Northeast,17,,,,,,
Washington Adventist Univ.,main,Master's Universities,17,48.0,0.0,0.5910438,0.4677884,0.0280849,14915.35
Fontbonne University,bang4buck,Midwest,17,,,,,,
Gustavus Adolphus College,main,Liberal Arts Colleges,18,19.0,0.9773333,0.020101,0.7802908,0.0008117,16651.18
University of South Florida (FL)*,bang4buck,Southeast,18,,,,,,
Oregon Institute of Technology (OR)*,main,Bachelor's Colleges,18,15.0,4.555666,0.1289178,0.5298194,-0.0954344,12202.29
California Institute of Tech.,bang4buck,West,18,,,,,,
Jackson State University (MS)*,bang4buck,South,18,,,,,,
University of MI–Ann Arbor (MI)*,bang4buck,Midwest,18,,,,,,
Amherst College,bang4buck,Northeast,18,,,,,,
Loyola University–Maryland,main,Master's Universities,18,80.0,0.722,0.0245916,0.8063333,-0.028381,25310.12
University of MI–Ann Arbor (MI)*,main,National Universities,18,56.0,1694.738,0.0739689,0.9325869,-0.0662647,7337.118
CA State Poly. Univ.–Pomona (CA)*,bang4buck,West,19,,,,,,
King University,bang4buck,South,19,,,,,,
Hobart & William Smith Colls.,main,Liberal Arts Colleges,19,53.0,2.427667,0.1998603,0.7777244,0.0142411,18657.95
Kentucky State University (KY)*,main,Bachelor's Colleges,19,41.0,8.667666,0.0286685,0.3446558,0.0124305,8148.269
DePauw University,bang4buck,Midwest,19,,,,,,
Saint Mary’s College of CA,main,Master's Universities,19,97.0,0.0,0.1806397,0.7694412,0.0132958,22282.0
Florida State University (FL)*,bang4buck,Southeast,19,,,,,,
Towson University (MD)*,bang4buck,Northeast,19,,,,,,
University of NC–Chapel Hill (NC)*,main,National Universities,19,67.0,1242.212,0.0588627,0.9043193,-0.03451,7038.398
Alverno College,main,Master's Universities,20,128.0,0.2266667,0.20619,0.5372714,-0.0974587,16993.02
College of the Ozarks,main,Bachelor's Colleges,20,9.0,0.0,0.072693,0.6762792,-0.0295529,7163.175
Kettering University,bang4buck,Midwest,20,,,,,,
Wellesley College,main,Liberal Arts Colleges,20,30.0,6.888667,0.054611,0.9318541,0.0150444,9065.779
Maine Maritime Academy (ME)*,bang4buck,Northeast,20,,,,,,
University of California–LA (CA)*,main,National Universities,20,54.0,1461.339,0.1344032,0.9260383,-0.0497821,9467.924
Polytech. U. of PR–Orlando,bang4buck,Southeast,20,,,,,,
University of Houston–Victoria (TX)*,bang4buck,South,20,,,,,,
Fresno Pacific University,bang4buck,West,20,,,,,,
Rutgers University–Newark (NJ)*,bang4buck,Northeast,21,,,,,,
University of Texas–San Antonio (TX)*,bang4buck,South,21,,,,,,
Smith College,main,Liberal Arts Colleges,21,69.0,4.867,0.0728228,0.8889091,-0.0192611,14070.83
NC Wesleyan College,bang4buck,Southeast,21,,,,,,
National Louis University,bang4buck,Midwest,21,,,,,,
William Jewell College,main,Bachelor's Colleges,21,86.0,0.0,0.0,0.6613314,-0.1372923,15588.33
Vanderbilt University,main,National Universities,21,39.0,976.7664,0.0163976,0.9363488,-0.0429057,6745.201
Harvey Mudd College,bang4buck,West,21,,,,,,
Governors State University (IL)*,main,Master's Universities,21,12.0,0.2996667,0.1364248,0.5806479,-0.0501582,8619.507
University of Texas–El Paso (TX)*,bang4buck,South,22,,,,,,
Ohio Northern University,bang4buck,Midwest,22,,,,,,
University of WA–Tacoma (WA)*,main,Master's Universities,22,10.0,4.426333,0.0,0.7499488,-0.054664,6161.246
CA State University–Fresno (CA)*,main,National Universities,22,9.0,10.224,0.4080061,0.6940454,-0.0827674,5080.285
CA Poly. St. U.–San Luis Obispo (CA)*,bang4buck,West,22,,,,,,
University of NC–Greensboro (NC)*,bang4buck,Southeast,22,,,,,,
Maine Maritime Academy (ME)*,main,Bachelor's Colleges,22,8.0,0.066,0.0,0.7436699,-0.1122848,19262.1
Harvard University,bang4buck,Northeast,22,,,,,,
Colgate University,main,Liberal Arts Colleges,22,18.0,3.520667,0.2294142,0.9048739,-0.0296025,11633.22
Univ. of NC–Pembroke (NC)*,bang4buck,Southeast,23,,,,,,
Emmaus Bible College,bang4buck,Midwest,23,,,,,,
Hiram College,main,Bachelor's Colleges,23,50.0,0.0,0.0242146,0.5531477,-0.1265214,15178.3
CUNY Brooklyn College (NY)*,bang4buck,Northeast,23,,,,,,
New College of Florida (FL)*,main,Liberal Arts Colleges,23,27.0,1.070333,0.0282887,0.6395248,-0.0453056,6738.341
CA State Univ.–Monterey Bay (CA)*,bang4buck,West,23,,,,,,
Western Illinois University (IL)*,main,Master's Universities,23,76.0,3.434667,0.1901429,0.5723131,-0.1806895,10993.54
Midwestern State University (TX)*,bang4buck,South,23,,,,,,
Washington Univ. in St. Louis,main,National Universities,23,46.0,985.509,0.1295275,0.9340167,-0.019995,3736.209
CA State Univ.–Channel Islands (CA)*,bang4buck,West,24,,,,,,
George Mason University (VA)*,bang4buck,Southeast,24,,,,,,
CUNY Hunter College (NY)*,main,Master's Universities,24,24.0,35.83633,0.0,0.5560415,0.0308871,2173.825
University of CA–San Diego (CA)*,main,National Universities,24,47.0,1454.197,0.1967785,0.8944917,-0.0416918,10662.61
CUNY Hunter College (NY)*,bang4buck,Northeast,24,,,,,,
Wiley University,bang4buck,South,24,,,,,,
Colby College,main,Liberal Arts Colleges,24,12.0,1.912667,0.023336,0.9021935,0.0077696,3493.704
Central State University (OH)*,main,Bachelor's Colleges,24,32.0,8.377334,0.0,0.2972631,0.0029714,11904.57
Calumet College of Saint Joseph,bang4buck,Midwest,24,,,,,,
Evergreen State College (WA)*,bang4buck,West,25,,,,,,
University of Maine–Fort Kent (ME)*,main,Bachelor's Colleges,25,26.0,0.0,0.3463463,0.5308614,-0.0922352,9846.258
Mount Holyoke College,main,Liberal Arts Colleges,25,45.0,2.051333,0.0605111,0.8460155,0.0240491,15327.58
College of the Holy Cross,bang4buck,Northeast,25,,,,,,
University of Northern Iowa (IA)*,main,Master's Universities,25,112.0,3.238333,0.1932162,0.6667333,-0.0925384,12488.19
Rasmussen University (FL)°,bang4buck,Southeast,25,,,,,,
Gustavus Adolphus College,bang4buck,Midwest,25,,,,,,
University of MN–Twin Cities (MN)*,main,National Universities,25,65.0,1105.809,0.0503946,0.8182483,-0.0914893,9138.936
Rice University,bang4buck,South,25,,,,,,
Christian Brothers University,bang4buck,South,26,,,,,,
University of MN–Twin Cities (MN)*,bang4buck,Midwest,26,,,,,,
Columbia Southern University (AL)°,bang4buck,Southeast,26,,,,,,
Carroll College,main,Bachelor's Colleges,26,91.0,0.0,0.0193855,0.6555852,-0.0780361,17835.33
Montclair State University (NJ)*,bang4buck,Northeast,26,,,,,,
Trinity College,main,Liberal Arts Colleges,26,9.0,1.607667,0.0623817,0.8388582,0.006394,12879.77
Buffalo State College (NY)*,main,Master's Universities,26,41.0,2.129,0.0800584,0.5227697,-0.0504273,11256.86
University of California–Davis (CA)*,main,National Universities,26,26.0,839.303,0.1010609,0.8874255,-0.0538735,11128.79
Sonoma State University (CA)*,bang4buck,West,26,,,,,,
Yale University,bang4buck,Northeast,27,,,,,,
University of MN–Morris (MN)*,main,Liberal Arts Colleges,27,15.0,0.888,0.1283061,0.5994853,-0.0473774,3768.045
Illinois Wesleyan University,bang4buck,Midwest,27,,,,,,
Wheeling University,bang4buck,Southeast,27,,,,,,
Blackburn College,main,Bachelor's Colleges,27,105.0,0.0,0.3333333,0.4405839,-0.1587055,17782.88
CA State University–San Marcos (CA)*,bang4buck,West,27,,,,,,
Paul Quinn College,bang4buck,South,27,,,,,,
Univ. of IL–Urbana-Champaign (IL)*,main,National Universities,27,30.0,728.7844,0.0490052,0.8670583,-0.0893553,7814.779
University of Baltimore (MD)*,main,Master's Universities,27,42.0,12.124,0.0279123,0.5450143,-0.042717,15710.74
Bates College,main,Liberal Arts Colleges,28,37.0,2.463667,0.1263923,0.9105068,0.0010348,7156.658
Appalachian State University (NC)*,bang4buck,Southeast,28,,,,,,
University of MI–Dearborn (MI)*,bang4buck,Midwest,28,,,,,,
George Washington University,main,National Universities,28,94.0,270.6533,0.1020002,0.8290545,-0.031845,16947.54
CA State University–Bakersfield (CA)*,main,Master's Universities,28,15.0,6.040333,0.107553,0.5920278,-0.0558599,5910.707
Bluefield State College (WV)*,main,Bachelor's Colleges,28,56.0,0.5443333,0.4835936,0.4504417,-0.0605223,9637.843
University of California–Davis (CA)*,bang4buck,West,28,,,,,,
Trinity College,bang4buck,Northeast,28,,,,,,
Texas A&M–College Station (TX)*,bang4buck,South,28,,,,,,
East Carolina University (NC)*,bang4buck,Southeast,29,,,,,,
Univ. of California–Merced (CA)*,bang4buck,West,29,,,,,,
Texas Woman's University (TX)*,bang4buck,South,29,,,,,,
Trinity Christian College,bang4buck,Midwest,29,,,,,,
University of ME–Farmington (ME)*,main,Bachelor's Colleges,29,62.0,1.043667,0.2168629,0.5759717,-0.1204506,11694.01
CA State Univ.–Monterey Bay (CA)*,main,Master's Universities,29,26.0,7.243667,0.1496141,0.7120387,-0.0030082,7387.922
Hamilton College,main,Liberal Arts Colleges,29,20.0,1.831667,0.2020259,0.9186695,-0.0092251,9747.895
Cornell University,bang4buck,Northeast,29,,,,,,
Lehigh University,main,National Universities,29,14.0,43.704,0.1018942,0.8945819,-0.006065,16925.95
St. Olaf College,main,Liberal Arts Colleges,30,43.0,1.126667,0.0322681,0.8642421,-0.0259175,12048.31
San Francisco State University (CA)*,bang4buck,West,30,,,,,,
Alaska Pacific University,main,Bachelor's Colleges,30,30.0,1.301333,0.1836631,0.4628739,0.0672303,19783.82
Metropolitan State University (MN)*,main,Master's Universities,30,39.0,0.1646667,0.1294621,0.5786748,-0.0605267,16670.41
Mount Mercy University,bang4buck,Midwest,30,,,,,,
Brown University,main,National Universities,30,58.0,284.4127,0.0700887,0.9612007,-0.0398386,5894.689
Williams College,bang4buck,Northeast,30,,,,,,
Kentucky State University (KY)*,bang4buck,South,30,,,,,,
University of NC–Chapel Hill (NC)*,bang4buck,Southeast,30,,,,,,
University of Richmond,bang4buck,Southeast,31,,,,,,
CA State Univ.–San Bernardino (CA)*,main,National Universities,31,5.0,11.45167,0.0953701,0.7086515,-0.0399909,5077.949
CUNY Lehman College (NY)*,main,Master's Universities,31,9.0,4.330333,0.0,0.5835927,0.0319062,2778.92
SUNY Old Westbury (NY)*,bang4buck,Northeast,31,,,,,,
Sterling College,main,Bachelor's Colleges,31,17.0,0.0,0.0,0.5088652,0.1722222,15857.83
College of the Holy Cross,main,Liberal Arts Colleges,31,8.0,0.4846667,0.0322962,0.9173405,-0.0164707,14734.11
San Jose State University (CA)*,bang4buck,West,31,,,,,,
Western Illinois University (IL)*,bang4buck,Midwest,31,,,,,,
East Central University (OK)*,bang4buck,South,31,,,,,,
Dartmouth College,main,National Universities,32,31.0,333.567,0.0499908,0.9567599,-0.037779,7452.071
Manhattan College,bang4buck,Northeast,32,,,,,,
University of North Florida (FL)*,bang4buck,Southeast,32,,,,,,
CA Poly. St. U.–San Luis Obispo (CA)*,main,Master's Universities,32,21.0,28.571,0.0202829,0.8479968,-0.0571536,13299.98
Salem College,main,Liberal Arts Colleges,32,13.0,0.0,0.0,0.5881808,-0.0227594,13775.29
Marietta College,main,Bachelor's Colleges,32,127.0,0.0,0.1089921,0.5802971,-0.2062311,16431.84
Univ. of Texas–Permian Basin (TX)*,bang4buck,South,32,,,,,,
Arizona State University (AZ)*,bang4buck,West,32,,,,,,
Univ. of Minnesota–Crookston (MN)*,bang4buck,Midwest,32,,,,,,
CA State University–East Bay (CA)*,bang4buck,West,33,,,,,,
University of Florida (FL)*,main,National Universities,33,27.0,996.0073,0.0299824,0.8794864,-0.0408583,2746.615
Le Moyne-Owen College,main,Bachelor's Colleges,33,20.0,0.0,0.0312131,0.2678567,0.005272,9212.417
Clayton State University (GA)*,bang4buck,Southeast,33,,,,,,
Saint Mary's College,bang4buck,Midwest,33,,,,,,
University of AR–Pine Bluff (AR)*,bang4buck,South,33,,,,,,
Carleton College,main,Liberal Arts Colleges,33,85.0,3.963333,0.053301,0.931771,-0.0673856,13018.45
Hood College,main,Master's Universities,33,183.0,0.0,0.0340481,0.6600463,-0.0811003,16641.48
Colby College,bang4buck,Northeast,33,,,,,,
University of CA–San Diego (CA)*,bang4buck,West,34,,,,,,
University of Houston (TX)*,bang4buck,South,34,,,,,,
Central State University (OH)*,bang4buck,Midwest,34,,,,,,
New Jersey Institute of Tech. (NJ)*,bang4buck,Northeast,34,,,,,,
New College of Florida (FL)*,bang4buck,Southeast,34,,,,,,
Keene State College (NH)*,main,Bachelor's Colleges,34,74.0,0.9173333,0.0928711,0.6220555,-0.0819523,15283.04
Buena Vista University,main,Master's Universities,34,92.0,0.0,0.0325024,0.5846473,-0.0840111,14918.67
Northwestern University,main,National Universities,34,32.0,929.5146,0.0581626,0.9508283,-0.0184842,5085.617
Vassar College,main,Liberal Arts Colleges,34,79.0,1.918,0.4341683,0.9063181,-0.0166786,14472.64
Heritage University,bang4buck,West,35,,,,,,
University of Chicago,main,National Universities,35,84.0,516.1157,0.0926626,0.9549165,-0.0324751,4201.836
CUNY John Jay Col. Crim. Just. (NY)*,main,Master's Universities,35,7.0,13.98767,0.0,0.5782626,0.0314211,2510.439
University of Chicago,bang4buck,Midwest,35,,,,,,
West Texas A&M University (TX)*,bang4buck,South,35,,,,,,
Dartmouth College,bang4buck,Northeast,35,,,,,,
Franklin and Marshall College,main,Liberal Arts Colleges,35,32.0,3.928333,0.0754312,0.8467057,-0.0164356,15681.17
Fayetteville State University (NC)*,bang4buck,Southeast,35,,,,,,
Pacific Union College,main,Bachelor's Colleges,35,90.0,0.0,0.0808302,0.5561829,-0.0777611,18874.52
College of Mount Saint Vincent,main,Bachelor's Colleges,36,22.0,0.0,0.0098908,0.6000426,-0.0814004,18536.48
Wesleyan University,bang4buck,Northeast,36,,,,,,
Baptist College of Florida,bang4buck,Southeast,36,,,,,,
Grinnell College,main,Liberal Arts Colleges,36,89.0,5.271667,0.0,0.8680789,-0.0279951,13341.2
University of CA–Berkeley (CA)*,bang4buck,West,36,,,,,,
University of Central Florida (FL)*,main,National Universities,36,16.0,217.947,0.0274114,0.7281111,-0.0489893,6955.472
Northeastern State University (OK)*,main,Master's Universities,36,63.0,0.3453333,0.3988878,0.4499834,-0.125211,8692.472
Simpson College,bang4buck,Midwest,36,,,,,,
Texas State Univ.–San Marcos (TX)*,bang4buck,South,36,,,,,,
Virginia State University (VA)*,bang4buck,Southeast,37,,,,,,
Buena Vista University,bang4buck,Midwest,37,,,,,,
Lafayette College,main,Liberal Arts Colleges,37,29.0,1.488,0.1000668,0.8842018,-0.0248893,16929.32
SUNY Oswego (NY)*,bang4buck,Northeast,37,,,,,,
Tennessee Wesleyan University,main,Bachelor's Colleges,37,63.0,0.0,0.2167526,0.539045,-0.1108009,10904.28
University of Virginia (VA)*,main,National Universities,37,83.0,641.991,0.1402267,0.9370816,-0.0434384,12203.29
Southeastern OK State Univ. (OK)*,bang4buck,South,37,,,,,,
University of California–Irvine (CA)*,bang4buck,West,37,,,,,,
Citadel: The Military Coll. of SC (SC)*,main,Master's Universities,37,118.0,2.48,0.041337,0.7399669,-0.0978481,15033.89
Trinity College of Florida,main,Bachelor's Colleges,38,37.0,0.0,0.193763,0.4872617,0.0929487,13877.78
VA Polytech. Inst. & State Univ. (VA)*,main,National Universities,38,85.0,563.4156,0.0116283,0.8578272,-0.0542862,14309.89
