id,prog_agriculture,prog_resources,prog_architecture,prog_ethnic_cultural_gender,prog_communication,prog_communications_technology,prog_computer,prog_personal_culinary,prog_education,prog_engineering,prog_engineering_technology,prog_language,prog_family_consumer_science,prog_legal,prog_english,prog_humanities,prog_library,prog_biological,prog_mathematics,prog_military,prog_multidiscipline,prog_parks_recreation_fitness,prog_philosophy_religious,prog_theology_religious_vocation,prog_physical_science,prog_science_technology,prog_psychology,prog_security_law_enforcement,prog_public_administration_social_service,prog_social_science,prog_construction,prog_mechanic_repair_technology,prog_precision_production,prog_transportation,prog_visual_performing,prog_health,prog_business_marketing,prog_history,programs_offered,top_programs
100937,0.0,0.018,0.0108,0.0072,0.0252,0.0,0.0432,0.0,0.0252,0.0072,0.0,0.0108,0.0,0.0,0.0288,0.0,0.0,0.0647,0.0288,0.0,0.0144,0.0,0.0144,0.0,0.0216,0.0,0.1187,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0468,0.1151,0.3165,0.0324,"Architecture, Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, English, Ethnic/Cultural/Gender Studies, Foreign Languages, Health Professions, History, Mathematics & Statistics, Multidisciplinary Studies, Natural Resources, Philosophy & Religious Studies, Physical Sciences, Psychology, Social Sciences, Visual & Performing Arts","Business & Marketing (32%), Psychology (12%), Health Professions (12%)"
101028,0.0,0.0,0.0,0.0,0.0,0.0,0.0428,0.0,0.0,0.0,0.0856,0.0,0.0036,0.0,0.0,0.3868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.2567,0.0998,0.0,"Business & Marketing, Computer Science, Engineering Technology, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Security & Law Enforcement, Visual & Performing Arts","Liberal Arts/Humanities (39%), Health Professions (26%), Security & Law Enforcement (11%)"
101116,0.0,0.0,0.0,0.0,0.0,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7973,0.1081,0.0,"Business & Marketing, Computer Science, Health Professions, Security & Law Enforcement","Health Professions (80%), Business & Marketing (11%), Security & Law Enforcement (5%)"
101143,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0209,0.0326,0.0,0.2372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6163,0.0,0.0,0.0,0.0535,0.0302,0.0,"Business & Marketing, Computer Science, Family & Consumer Science, Health Professions, Legal Studies, Liberal Arts/Humanities, Mechanic & Repair","Mechanic & Repair (62%), Liberal Arts/Humanities (24%), Health Professions (5%)"
101161,0.005,0.0,0.0,0.0,0.0,0.0106,0.0106,0.0218,0.0,0.0,0.1312,0.0,0.0131,0.0068,0.0,0.2842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0404,0.0864,0.0,0.0124,0.3072,0.069,0.0,"Agriculture, Business & Marketing, Communications Technology, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Legal Studies, Liberal Arts/Humanities, Mechanic & Repair, Precision Production, Visual & Performing Arts","Health Professions (31%), Liberal Arts/Humanities (28%), Engineering Technology (13%)"
101189,0.0022,0.0,0.0,0.0,0.0,0.0,0.0112,0.0,0.0404,0.0,0.0,0.0,0.0,0.0067,0.0157,0.0202,0.0,0.0045,0.0045,0.0,0.0157,0.0381,0.0,0.009,0.0,0.0,0.0516,0.1973,0.0,0.0022,0.0,0.0,0.0,0.0,0.0045,0.0269,0.5404,0.009,"Agriculture, Biological Sciences, Business & Marketing, Computer Science, Education, English, Health Professions, History, Legal Studies, Liberal Arts/Humanities, Mathematics & Statistics, Multidisciplinary Studies, Parks, Recreation & Fitness, Psychology, Security & Law Enforcement, Social Sciences, Theology, Visual & Performing Arts","Business & Marketing (54%), Security & Law Enforcement (20%), Psychology (5%)"
101240,0.0,0.0,0.0,0.0,0.0,0.0,0.0853,0.0647,0.0,0.0,0.0886,0.0,0.0168,0.0125,0.0,0.1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.2049,0.0641,0.0,0.0,0.2359,0.0451,0.0,"Business & Marketing, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Legal Studies, Liberal Arts/Humanities, Mechanic & Repair, Precision Production","Health Professions (24%), Mechanic & Repair (20%), Liberal Arts/Humanities (17%)"
101277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Culinary/Personal Services,Culinary/Personal Services (100%)
101286,0.0,0.0,0.0,0.0,0.0,0.0,0.0307,0.0747,0.0,0.0,0.0706,0.0,0.0542,0.0,0.0,0.2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0256,0.0399,0.0348,0.0,0.0,0.3234,0.0563,0.0,"Business & Marketing, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Mechanic & Repair, Precision Production, Security & Law Enforcement","Health Professions (32%), Liberal Arts/Humanities (27%), Culinary/Personal Services (7%)"
101295,0.0151,0.0,0.0,0.0,0.0,0.0,0.0187,0.0183,0.0,0.0,0.0489,0.0,0.0366,0.0024,0.0,0.1125,0.0,0.0,0.0,0.0,0.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0052,0.173,0.0656,0.0068,0.0072,0.2966,0.0338,0.0,"Agriculture, Business & Marketing, Computer Science, Construction Trades, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Legal Studies, Liberal Arts/Humanities, Mechanic & Repair, Multidisciplinary Studies, Precision Production, Security & Law Enforcement, Transportation, Visual & Performing Arts","Health Professions (30%), Mechanic & Repair (17%), Multidisciplinary Studies (15%)"
